global_rank,file_name,color_rank,hue
276,fish_0080.png,3,0.3461538461538461
277,fish_0045.png,3,0.3518518518518519
278,fish_0070.png,3,0.361111111111111
279,fish_0039.png,1,0.3611111111111111
280,fish_0014.png,1,0.3636363636363636
281,fish_0033.png,1,0.367816091954023
282,fish_0027.png,3,0.36805555555555564
283,fish_0037.png,3,0.3761904761904762
284,fish_0098.png,2,0.3888888888888889
285,fish_0093.png,3,0.3888888888888889
286,fish_0103.png,1,0.3888888888888889
287,fish_0052.png,1,0.3947368421052631
288,fish_0049.png,1,0.3999999999999999
289,fish_0101.png,3,0.403225806451613
290,fish_0116.png,1,0.41111111111111115
291,fish_0019.png,2,0.43137254901960786
292,fish_0033.png,3,0.4316939890710383
293,fish_0007.png,3,0.43197278911564635
294,fish_0098.png,3,0.43537414965986393
295,fish_0116.png,3,0.4354838709677418
296,fish_0050.png,3,0.43607305936073054
297,fish_0086.png,2,0.441860465116279
298,fish_0114.png,3,0.4444444444444444
299,fish_0023.png,3,0.4453781512605042
300,fish_0108.png,3,0.4462365591397848
301,fish_0043.png,3,0.44696969696969696
302,fish_0017.png,3,0.45762711864406774
303,fish_0025.png,3,0.4617117117117117
304,fish_0102.png,3,0.46428571428571425
305,fish_0019.png,3,0.4707602339181287
306,fish_0042.png,3,0.4710144927536232
307,fish_0047.png,3,0.471830985915493
308,fish_0019.png,1,0.4791666666666667
309,fish_0028.png,3,0.4833333333333334
310,fish_0096.png,3,0.48484848484848486
311,fish_0086.png,3,0.48627450980392156
312,fish_0094.png,3,0.48989898989898983
313,fish_0040.png,3,0.49450549450549447
314,fish_0078.png,3,0.49473684210526314
315,fish_0125.png,3,0.49717514124293777
316,fish_0109.png,3,0.5
317,fish_0106.png,3,0.5
318,fish_0092.png,3,0.5
319,fish_0097.png,3,0.5
320,fish_0068.png,3,0.5047619047619047
321,fish_0003.png,3,0.5056179775280899
322,fish_0124.png,3,0.5102339181286549
323,fish_0099.png,3,0.5121212121212121
324,fish_0060.png,3,0.5126811594202899
325,fish_0085.png,2,0.5128205128205128
326,fish_0014.png,3,0.5134408602150536
327,fish_0100.png,3,0.5256410256410257
328,fish_0122.png,3,0.5259740259740259
329,fish_0054.png,3,0.5301418439716312
330,fish_0008.png,3,0.5363036303630363
331,fish_0046.png,3,0.5366666666666666
332,fish_0082.png,2,0.5379746835443039
333,fish_0114.png,2,0.5408805031446541
334,fish_0031.png,2,0.5420875420875421
335,fish_0087.png,3,0.5422885572139303
336,fish_0006.png,3,0.5433789954337899
337,fish_0049.png,3,0.5494791666666666
338,fish_0093.png,2,0.5555555555555555
339,fish_0048.png,3,0.5584192439862542
340,fish_0115.png,3,0.5634920634920636
341,fish_0002.png,3,0.5666666666666665
342,fish_0084.png,3,0.5679824561403509
343,fish_0039.png,2,0.5823754789272031
344,fish_0126.png,3,0.585858585858586
345,fish_0072.png,3,0.587431693989071
346,fish_0012.png,3,0.6000000000000001
347,fish_0104.png,3,0.6081081081081082
348,fish_0038.png,3,0.6228070175438596
349,fish_0099.png,2,0.625
350,fish_0059.png,2,0.6505376344086021
351,fish_0021.png,3,0.6666666666666666
352,fish_0088.png,2,0.6825396825396824
353,fish_0001.png,3,0.6891891891891891
354,fish_0071.png,3,0.7222222222222222
355,fish_0010.png,3,0.7342342342342342
356,fish_0128.png,3,0.7434782608695653
357,fish_0117.png,3,0.7824074074074073
358,fish_0041.png,3,0.8796296296296298
359,fish_0057.png,3,0.8854166666666666
360,fish_0021.png,2,0.9912280701754387
